OBJECTID,CNN,STREETNAME,FROM_ST,TO_ST,FACILITY_T,DIRECT,SURFACE_TR,BARRIER,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,INSTALL_YR,INSTALL_MO,UPDATE_YR,UPDATE_MO,GLOBALID,SYMBOLOGY,SHARROW,BUFFERED,RAISED,CONTRAFLOW,GREENWAVE,BIAP,SM_SWEEPER,shape
3745,19789000,,UNNAMED 078,UNNAMED 052,CLASS III,2W,,,PRESIDIO,S,1,0,0,Unnamed077,0.08767875,95,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47511 37.807404, -122.47495 37.807518, -122.474785 37.807606, -122.47466 37.807636, -122.474556 37.807636, -122.47446 37.80761, -122.47423 37.807457, -122.47387 37.807125)"
4828,19789000,,UNNAMED 078,UNNAMED 052,CLASS III,2W,,,PRESIDIO,N,0,0,0,Unnamed077,0.08767875,65,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47511 37.807404, -122.47495 37.807518, -122.474785 37.807606, -122.47466 37.807636, -122.474556 37.807636, -122.47446 37.80761, -122.47423 37.807457, -122.47387 37.807125)"
3724,19790000,,LINCOLN BLVD,UNNAMED 078,CLASS III,2W,,,PRESIDIO,S,1,0,0,Unnamed 077,0.03728133,95,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47387 37.807125, -122.47342 37.80672)"
1112,19790000,,LINCOLN BLVD,UNNAMED 078,CLASS III,2W,,,PRESIDIO,N,0,0,0,Unnamed077,0.03728133,65,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47387 37.807125, -122.47342 37.80672)"
4139,19866002,,,,CLASS III,2W,,,PRESIDIO,N,1,0,0,Hwy 101,0.05170732,95,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.476006 37.80689, -122.47537 37.80633)"
1421,19866002,,,,CLASS III,2W,,,PRESIDIO,S,0,0,0,Hwy 101,0.05170732,2,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.476006 37.80689, -122.47537 37.80633)"
2396,0,,ALEMANY BL,BAYSHORE BL,CLASS I,N,,,,N,0,,,,0.03342753,,2018,12,0,0,,BIKE PATH,0,NO,NO,NO,NO,NO,,"LINESTRING (-122.40714 37.737373, -122.40709 37.737545, -122.40704 37.737667, -122.40699 37.737732, -122.406876 37.73778)"
4620,0,,,,CLASS I,2W,,,,,1,0,0,,0.31978493,69,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.480965 37.77271, -122.480705 37.772346, -122.48094 37.77192, -122.480995 37.77182, -122.48105 37.771706, -122.481186 37.771538, -122.48132 37.77145, -122.481255 37.771347, -122.4812 37.771236, -122.4812 37.771202, -122.48121 37.771164, -122.48123 37.77112, -122.48125 37.77108, -122.48123 37.77104, -122.481064 37.77086, -122.48106 37.770824, -122.48106 37.770794, -122.481064 37.770767, -122.48112 37.770718, -122.48173 37.770126, -122.48153 37.770134, -122.48135 37.770164, -122.48094 37.770287, -122.48009 37.770542, -122.47998 37.77033)"
3371,0,,LINCOLN WAY,MARTIN LUTHER KING JR DR,CLASS I,2W,,,,,0,0,0,,0.03587613,75,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47825 37.76591, -122.47831 37.765392)"
1815,0,,,,CLASS I,2W,,,,,0,0,0,,0.08011366,2,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.43604 37.80655, -122.436165 37.806606, -122.436516 37.80664, -122.43747 37.806526, -122.43747 37.806526)"
2159,0,,,,CLASS I,2W,,,,,1,0,0,,0.16222728,85,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.49316 37.76708, -122.49332 37.76473)"
4647,0,,,,CLASS I,2W,,,,,0,0,0,,0.11835643,85,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.49267 37.76916, -122.493126 37.769882, -122.493576 37.769753, -122.49389 37.770226)"
3429,0,,,,CLASS I,2W,,,,,1,0,0,,1.37241367,365,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.501816 37.767723, -122.50176 37.76631, -122.50132 37.766045, -122.50065 37.765728, -122.50011 37.765625, -122.49968 37.765594, -122.49955 37.765583, -122.499435 37.76559, -122.499 37.7657, -122.498436 37.76578, -122.498375 37.7658, -122.49822 37.76588, -122.498184 37.765907, -122.498146 37.765926, -122.49812 37.765938, -122.497765 37.766052, -122.49727 37.766243, -122.496666 37.76643, -122.49647 37.766506, -122.49636 37.766533, -122.49624 37.766563, -122.49549 37.766693, -122.49435 37.766624, -122.49419 37.766613, -122.4941 37.76661, -122.49394 37.766632, -122.49342 37.76677, -122.49292 37.766895, -122.492386 37.767128, -122.49185 37.767323, -122.490974 37.767567, -122.49035 37.767784, -122.49003 37.767902, -122.489746 37.767994, -122.48944 37.76808, -122.48931 37.76811, -122.48892 37.768192, -122.48844 37.768303, -122.48793 37.768444, -122.48753 37.7685, -122.48699 37.76861, -122.48652 37.76874, -122.48636 37.768784, -122.48627 37.768803, -122.486145 37.768826, -122.48603 37.76883, -122.485916 37.76882, -122.48577 37.768826, -122.48547 37.76888, -122.484795 37.768875, -122.48474 37.768875, -122.484695 37.76888, -122.48465 37.768887, -122.48462 37.76889, -122.48458 37.7689, -122.48456 37.76891, -122.484314 37.768997, -122.484276 37.76901, -122.48426 37.76901, -122.484215 37.769012, -122.48419 37.769016, -122.48407 37.76902, -122.48367 37.769077, -122.48353 37.76916, -122.483315 37.769352, -122.483246 37.769386, -122.48317 37.769413, -122.483 37.76943, -122.48266 37.76944, -122.4825 37.769543, -122.48239 37.76959, -122.4823 37.76962, -122.48217 37.769657, -122.48208 37.76969, -122.481865 37.769814, -122.48173 37.76991, -122.48143 37.769924, -122.481026 37.77001, -122.4805 37.770153, -122.479965 37.770332)"
4323,0,,,,CLASS I,2W,,,,,0,0,0,,0.03766947,30,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.448944 37.771664, -122.44907 37.7722)"
4582,0,,,,CLASS I,2W,,,Not City Maintained (OTHER PATH),,0,0,0,,0.38324751,91,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.50228 37.71176, -122.50422 37.7171)"
2617,0,,,,CLASS I,2W,,,,,0,0,0,,0.00345473,30,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.449 37.77224, -122.448944 37.77227)"
2296,0,,,,CLASS I,2W,,,,,1,0,0,,0.49510708,2,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.42962 37.806747, -122.430176 37.805614, -122.430374 37.805264, -122.430435 37.805214, -122.43053 37.80518, -122.4308 37.80515, -122.430954 37.805134, -122.431175 37.805126, -122.43155 37.80512, -122.43199 37.80512, -122.43205 37.80521, -122.43217 37.80552, -122.43371 37.805416, -122.433754 37.805122, -122.43401 37.805305, -122.43551 37.806267, -122.43604 37.80655)"
4121,0,,,,CLASS I,2W,,,Not City Maintained (OTHER PATH),,0,0,0,,0.19234721,91,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.50398 37.716873, -122.50396 37.71687, -122.50394 37.716866, -122.503914 37.71686, -122.50389 37.71686, -122.50387 37.716858, -122.503845 37.716858, -122.50382 37.716854, -122.5038 37.716854, -122.50377 37.71685, -122.503746 37.71685, -122.50372 37.71685, -122.5037 37.71685, -122.50368 37.71685, -122.503654 37.71685, -122.50363 37.71685, -122.50361 37.716854, -122.503586 37.716854, -122.50356 37.716858, -122.50354 37.716858, -122.50352 37.71686, -122.503494 37.71686, -122.50347 37.716866, -122.50345 37.71687, -122.503426 37.716873, -122.5034 37.716877, -122.50338 37.71688, -122.50336 37.716885, -122.503334 37.71689, -122.50332 37.716892, -122.503296 37.716896, -122.50327 37.716904, -122.50325 37.716908, -122.50323 37.716915, -122.503204 37.71692, -122.50318 37.716927, -122.50317 37.716934, -122.50314 37.71694, -122.50312 37.71695, -122.5031 37.716957, -122.503075 37.716965, -122.50306 37.716972, -122.50304 37.71698, -122.50301 37.716988, -122.503 37.716995, -122.502975 37.717007, -122.50295 37.717014, -122.50294 37.717026, -122.502914 37.717033, -122.5029 37.717045, -122.50288 37.717056, -122.50286 37.717064, -122.50284 37.717075, -122.50282 37.717087, -122.5028 37.7171, -122.502785 37.71711, -122.50277 37.71712, -122.50275 37.717133, -122.50273 37.717144, -122.502716 37.71716, -122.5027 37.71717, -122.502686 37.717182, -122.50266 37.717197, -122.50265 37.71721, -122.50263 37.717224, -122.50262 37.717236, -122.5026 37.71725, -122.50259 37.717266, -122.50257 37.717278, -122.502556 37.717293, -122.50255 37.717308, -122.50253 37.717323, -122.50252 37.71734, -122.5025 37.717354, -122.502495 37.71737, -122.50248 37.717384, -122.502464 37.7174, -122.50246 37.717415, -122.50244 37.71743, -122.50243 37.717445, -122.50242 37.71746, -122.50241 37.71748, -122.5024 37.717495, -122.50239 37.71751, -122.50238 37.71753, -122.50237 37.717545, -122.502365 37.71756, -122.50235 37.71758, -122.50234 37.717594, -122.502335 37.717613, -122.50233 37.71763, -122.50232 37.717648, -122.50231 37.717663, -122.50231 37.71768, -122.502304 37.7177, -122.5023 37.717716, -122.50229 37.717735, -122.50228 37.717754, -122.50228 37.71777, -122.50227 37.71779, -122.50227 37.717808, -122.502266 37.717827, -122.502266 37.717842, -122.50226 37.71786, -122.50226 37.71788, -122.50226 37.7179, -122.50225 37.71792, -122.50225 37.717934, -122.50225 37.717953, -122.50225 37.71797, -122.50225 37.71799, -122.50225 37.71801, -122.50225 37.718025, -122.50225 37.718044, -122.50225 37.718063, -122.50225 37.718082, -122.50226 37.7181, -122.50226 37.718117, -122.50226 37.718136, -122.502266 37.718155, -122.502266 37.718174, -122.502266 37.71819, -122.50227 37.71821, -122.50227 37.718227, -122.50228 37.718246, -122.50229 37.71826, -122.50229 37.71828, -122.5023 37.7183, -122.502304 37.718315, -122.50231 37.718334, -122.50232 37.718353, -122.50233 37.71837, -122.502335 37.718388, -122.50234 37.718403, -122.50235 37.718422, -122.50236 37.718437, -122.502365 37.718456, -122.50237 37.71847, -122.50238 37.718487, -122.502396 37.718506, -122.5024 37.71852, -122.50241 37.718536, -122.502426 37.718555, -122.50243 37.71857, -122.50245 37.718586, -122.50246 37.7186, -122.50247 37.718616, -122.50249 37.71863, -122.502495 37.718647, -122.50251 37.718662, -122.502525 37.718678, -122.50253 37.718693, -122.50255 37.718708)"
909,0,,,,CLASS I,2W,,,,,1,0,0,,0.23095082,830,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47743 37.737354, -122.47729 37.736744, -122.47686 37.73615, -122.47588 37.735783, -122.47574 37.735294, -122.47565 37.734615)"
2614,0,,,,CLASS I,2W,,,,,1,0,0,,0.4677052,30,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.448944 37.77227, -122.44888 37.7723, -122.44873 37.77241, -122.44861 37.772495, -122.44856 37.77253, -122.448524 37.77254, -122.448456 37.77255, -122.44838 37.77255, -122.44832 37.772545, -122.44825 37.77254, -122.448 37.77253, -122.44782 37.772526, -122.447655 37.772552, -122.4475 37.77258, -122.44733 37.77262, -122.44716 37.77266, -122.44703 37.77269, -122.44695 37.772686, -122.446884 37.77267, -122.44681 37.77264, -122.446754 37.772617, -122.44668 37.772602, -122.44661 37.772594, -122.44655 37.772594, -122.4465 37.7726, -122.44643 37.772614, -122.44634 37.77265, -122.44618 37.77278, -122.446144 37.77281, -122.44599 37.772846, -122.44558 37.772892, -122.44522 37.772785, -122.44475 37.77292, -122.44398 37.772987, -122.44377 37.77301, -122.44246 37.773155, -122.44182 37.77324, -122.44148 37.773342, -122.44132 37.773388, -122.44116 37.77345, -122.441055 37.773544, -122.44091 37.773632)"
4484,0,,,,CLASS I,2W,,,,,1,0,0,,0.2095501,91,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.503525 37.7187, -122.50353 37.718697, -122.50355 37.718697, -122.503555 37.718693, -122.50357 37.71869, -122.50358 37.71869, -122.50359 37.718685, -122.5036 37.718685, -122.50362 37.71868, -122.50363 37.71868, -122.50364 37.71868, -122.503654 37.71868, -122.50366 37.71868, -122.50368 37.71868, -122.503685 37.71868, -122.5037 37.71868, -122.503716 37.71868, -122.50372 37.71868, -122.50374 37.718685, -122.503746 37.718685, -122.50376 37.71869, -122.50377 37.71869, -122.503784 37.718693, -122.50379 37.718697, -122.50381 37.7187, -122.503815 37.718704, -122.50383 37.718708, -122.50384 37.71871, -122.50385 37.718716, -122.50386 37.71872, -122.50387 37.718723, -122.50388 37.718727, -122.50389 37.718735, -122.5039 37.71874, -122.503914 37.718746, -122.50392 37.71875, -122.50393 37.718758, -122.50394 37.718765, -122.503944 37.71877, -122.50395 37.718777, -122.50396 37.718784, -122.503975 37.718792, -122.50398 37.7188, -122.50398 37.718807, -122.50399 37.718815, -122.504 37.718822, -122.504005 37.71883, -122.50401 37.718838, -122.50402 37.718845, -122.50402 37.718857, -122.50403 37.718864, -122.504036 37.718872, -122.504036 37.71888, -122.50404 37.71889, -122.50404 37.7189, -122.50405 37.71891, -122.50405 37.718918, -122.50406 37.718925, -122.50406 37.718937, -122.50406 37.718945, -122.50406 37.718956, -122.50407 37.718964, -122.50407 37.718975, -122.50407 37.718983, -122.50407 37.718994, -122.50407 37.719, -122.50407 37.719013, -122.50407 37.71902, -122.50406 37.719032, -122.50406 37.71904, -122.50406 37.71905, -122.50406 37.71906, -122.50405 37.71907, -122.50405 37.719078, -122.50404 37.719086, -122.50404 37.719097, -122.504036 37.719105, -122.504036 37.719116, -122.50403 37.719124, -122.50403 37.71913, -122.50402 37.71914, -122.50401 37.71915, -122.504005 37.71916, -122.504 37.719166, -122.504 37.719173, -122.50399 37.71918, -122.50398 37.71919, -122.50396 37.7192, -122.50394 37.719215, -122.50392 37.719227, -122.5039 37.719242, -122.50388 37.719254, -122.50386 37.71927, -122.503845 37.719284, -122.50382 37.7193, -122.50381 37.71931, -122.50379 37.719326, -122.50377 37.71934, -122.50375 37.719357, -122.50374 37.71937, -122.50372 37.719387, -122.50371 37.719406, -122.503685 37.71942, -122.50367 37.719437, -122.503654 37.71945, -122.50364 37.71947, -122.503624 37.719486, -122.50361 37.7195, -122.5036 37.71952, -122.503586 37.719536, -122.50357 37.719555, -122.503555 37.71957, -122.50354 37.71959, -122.50353 37.71961, -122.50352 37.719624, -122.5035 37.719643, -122.503494 37.71966, -122.50348 37.71968, -122.50347 37.7197, -122.503456 37.71972, -122.50345 37.719734, -122.50344 37.719753, -122.503426 37.719772, -122.50342 37.71979, -122.50341 37.71981, -122.5034 37.71983, -122.503395 37.719852, -122.50339 37.71987, -122.50338 37.71989, -122.50337 37.71991, -122.503365 37.71993, -122.50336 37.719948, -122.50335 37.71997, -122.50334 37.71999, -122.503334 37.72001, -122.503334 37.720028, -122.50333 37.72005, -122.50332 37.72007, -122.50332 37.72009, -122.50331 37.720108, -122.50331 37.72013, -122.50331 37.72015, -122.5033 37.72017, -122.5033 37.720192, -122.5033 37.72021, -122.503296 37.720234, -122.503296 37.720253, -122.503296 37.720272, -122.503296 37.720295, -122.503296 37.720314, -122.503296 37.720333, -122.503296 37.720356, -122.503296 37.720375, -122.503296 37.720398, -122.5033 37.720417, -122.5033 37.720436, -122.5033 37.72046, -122.50331 37.720478, -122.50331 37.720497, -122.50331 37.72052, -122.50332 37.72054, -122.50332 37.72056, -122.50333 37.72058, -122.503334 37.7206, -122.503334 37.72062, -122.50334 37.72064, -122.50335 37.72066, -122.50336 37.72068, -122.503365 37.7207, -122.50337 37.72072, -122.50338 37.720737, -122.50339 37.72076, -122.503395 37.72078, -122.5034 37.7208, -122.50341 37.720818, -122.50342 37.720837, -122.503426 37.720856, -122.50344 37.720875, -122.50345 37.720894, -122.503456 37.720913, -122.50347 37.720932, -122.50348 37.720947, -122.503494 37.720966, -122.5035 37.720985, -122.50352 37.721004, -122.50353 37.72102, -122.50354 37.72104, -122.503555 37.721058, -122.50357 37.721073, -122.50358 37.721092, -122.50359 37.721107, -122.50361 37.721127, -122.503624 37.72114, -122.503654 37.721176)"
1533,0,,,,CLASS I,2W,,,Not City Maintained (OTHER PATH),,0,0,0,,0.17389507,395,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.51186 37.78251, -122.51143 37.782124, -122.511024 37.78175, -122.51075 37.781193, -122.51038 37.78086, -122.509865 37.78062)"
3670,0,,,,CLASS I,2W,,,Not City Maintained (OTHER PATH),,0,0,0,,0.03932239,91,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.503365 37.71285, -122.50265 37.712864)"
4228,0,,,,CLASS I,2W,,,,,1,0,0,,0.19234721,91,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.50398 37.716873, -122.50396 37.71687, -122.50394 37.716866, -122.503914 37.71686, -122.50389 37.71686, -122.50387 37.716858, -122.503845 37.716858, -122.50382 37.716854, -122.5038 37.716854, -122.50377 37.71685, -122.503746 37.71685, -122.50372 37.71685, -122.5037 37.71685, -122.50368 37.71685, -122.503654 37.71685, -122.50363 37.71685, -122.50361 37.716854, -122.503586 37.716854, -122.50356 37.716858, -122.50354 37.716858, -122.50352 37.71686, -122.503494 37.71686, -122.50347 37.716866, -122.50345 37.71687, -122.503426 37.716873, -122.5034 37.716877, -122.50338 37.71688, -122.50336 37.716885, -122.503334 37.71689, -122.50332 37.716892, -122.503296 37.716896, -122.50327 37.716904, -122.50325 37.716908, -122.50323 37.716915, -122.503204 37.71692, -122.50318 37.716927, -122.50317 37.716934, -122.50314 37.71694, -122.50312 37.71695, -122.5031 37.716957, -122.503075 37.716965, -122.50306 37.716972, -122.50304 37.71698, -122.50301 37.716988, -122.503 37.716995, -122.502975 37.717007, -122.50295 37.717014, -122.50294 37.717026, -122.502914 37.717033, -122.5029 37.717045, -122.50288 37.717056, -122.50286 37.717064, -122.50284 37.717075, -122.50282 37.717087, -122.5028 37.7171, -122.502785 37.71711, -122.50277 37.71712, -122.50275 37.717133, -122.50273 37.717144, -122.502716 37.71716, -122.5027 37.71717, -122.502686 37.717182, -122.50266 37.717197, -122.50265 37.71721, -122.50263 37.717224, -122.50262 37.717236, -122.5026 37.71725, -122.50259 37.717266, -122.50257 37.717278, -122.502556 37.717293, -122.50255 37.717308, -122.50253 37.717323, -122.50252 37.71734, -122.5025 37.717354, -122.502495 37.71737, -122.50248 37.717384, -122.502464 37.7174, -122.50246 37.717415, -122.50244 37.71743, -122.50243 37.717445, -122.50242 37.71746, -122.50241 37.71748, -122.5024 37.717495, -122.50239 37.71751, -122.50238 37.71753, -122.50237 37.717545, -122.502365 37.71756, -122.50235 37.71758, -122.50234 37.717594, -122.502335 37.717613, -122.50233 37.71763, -122.50232 37.717648, -122.50231 37.717663, -122.50231 37.71768, -122.502304 37.7177, -122.5023 37.717716, -122.50229 37.717735, -122.50228 37.717754, -122.50228 37.71777, -122.50227 37.71779, -122.50227 37.717808, -122.502266 37.717827, -122.502266 37.717842, -122.50226 37.71786, -122.50226 37.71788, -122.50226 37.7179, -122.50225 37.71792, -122.50225 37.717934, -122.50225 37.717953, -122.50225 37.71797, -122.50225 37.71799, -122.50225 37.71801, -122.50225 37.718025, -122.50225 37.718044, -122.50225 37.718063, -122.50225 37.718082, -122.50226 37.7181, -122.50226 37.718117, -122.50226 37.718136, -122.502266 37.718155, -122.502266 37.718174, -122.502266 37.71819, -122.50227 37.71821, -122.50227 37.718227, -122.50228 37.718246, -122.50229 37.71826, -122.50229 37.71828, -122.5023 37.7183, -122.502304 37.718315, -122.50231 37.718334, -122.50232 37.718353, -122.50233 37.71837, -122.502335 37.718388, -122.50234 37.718403, -122.50235 37.718422, -122.50236 37.718437, -122.502365 37.718456, -122.50237 37.71847, -122.50238 37.718487, -122.502396 37.718506, -122.5024 37.71852, -122.50241 37.718536, -122.502426 37.718555, -122.50243 37.71857, -122.50245 37.718586, -122.50246 37.7186, -122.50247 37.718616, -122.50249 37.71863, -122.502495 37.718647, -122.50251 37.718662, -122.502525 37.718678, -122.50253 37.718693, -122.50255 37.718708)"
3037,0,,,,CLASS I,2W,,,,,0,0,0,,0.49510708,2,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.42962 37.806747, -122.430176 37.805614, -122.430374 37.805264, -122.430435 37.805214, -122.43053 37.80518, -122.4308 37.80515, -122.430954 37.805134, -122.431175 37.805126, -122.43155 37.80512, -122.43199 37.80512, -122.43205 37.80521, -122.43217 37.80552, -122.43371 37.805416, -122.433754 37.805122, -122.43401 37.805305, -122.43551 37.806267, -122.43604 37.80655)"
2372,0,,,,CLASS I,2W,,,,,1,0,0,,0.17389507,395,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.51186 37.78251, -122.51143 37.782124, -122.511024 37.78175, -122.51075 37.781193, -122.51038 37.78086, -122.509865 37.78062)"
3196,0,,,,CLASS I,2W,,,Not City Maintained (OTHER PATH),,0,0,0,,0.04562575,395,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.50796 37.78339, -122.50769 37.78276)"
2553,0,,,,CLASS I,2W,,,,,1,0,0,,0.16347576,91,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.500084 37.71808, -122.50011 37.718075, -122.50014 37.718075, -122.50016 37.718075, -122.50018 37.71807, -122.50021 37.71807, -122.50024 37.71807, -122.50026 37.71807, -122.50028 37.71807, -122.50031 37.71807, -122.500336 37.71807, -122.50036 37.71807, -122.50039 37.718075, -122.50041 37.718075, -122.500435 37.718075, -122.500465 37.71808, -122.50049 37.71808, -122.50051 37.718082, -122.50054 37.718086, -122.500565 37.718086, -122.50059 37.71809, -122.50061 37.718094, -122.50064 37.718098, -122.50066 37.7181, -122.50069 37.718105, -122.50071 37.718113, -122.50074 37.718117, -122.50076 37.71812, -122.500786 37.71813, -122.50081 37.718132, -122.50083 37.71814, -122.500854 37.718143, -122.500885 37.71815, -122.50091 37.71816, -122.50093 37.718166, -122.50095 37.71817, -122.50098 37.718178, -122.501 37.718185, -122.50102 37.718193, -122.501045 37.718204, -122.50107 37.718212, -122.50109 37.71822, -122.501114 37.718227, -122.50114 37.71824, -122.50116 37.718246, -122.50118 37.718258, -122.501205 37.718266, -122.50123 37.718277, -122.50125 37.71829, -122.50127 37.7183, -122.50129 37.718307, -122.50131 37.71832, -122.501335 37.71833, -122.50135 37.71834, -122.50137 37.718353, -122.501396 37.71837, -122.50141 37.71838, -122.501434 37.71839, -122.50146 37.718403, -122.50147 37.71842, -122.501495 37.71843, -122.50151 37.718445, -122.50153 37.718456, -122.50152 37.71847, -122.50151 37.718487, -122.501495 37.718502, -122.50149 37.718517, -122.50147 37.718533, -122.501465 37.718548, -122.50146 37.718563, -122.50145 37.71858, -122.50144 37.718594, -122.50143 37.71861, -122.50142 37.718628, -122.50141 37.718643, -122.5014 37.71866, -122.501396 37.718674, -122.50139 37.718693, -122.50139 37.718708, -122.50138 37.718723, -122.50137 37.718742, -122.501366 37.718758, -122.501366 37.718773, -122.50136 37.718792, -122.50135 37.718807, -122.50135 37.718826, -122.50134 37.71884, -122.50134 37.71886, -122.501335 37.718876, -122.501335 37.718895, -122.501335 37.71891, -122.50133 37.71893, -122.50133 37.718945, -122.50133 37.718964, -122.50133 37.71898, -122.50133 37.718998, -122.50132 37.719013, -122.50132 37.719032, -122.50132 37.719048, -122.50132 37.719067, -122.50133 37.71908, -122.50133 37.7191, -122.50133 37.719116, -122.50133 37.719135, -122.50133 37.71915, -122.501335 37.71917, -122.501335 37.719185, -122.50134 37.719204, -122.50134 37.71922, -122.50135 37.71924, -122.50135 37.719254, -122.50136 37.719273, -122.50136 37.719288, -122.501366 37.719307, -122.50137 37.719322, -122.50138 37.719337, -122.50138 37.719357, -122.50139 37.71937, -122.501396 37.719387, -122.5014 37.719406, -122.50141 37.71942, -122.50142 37.719437, -122.50143 37.71945, -122.501434 37.719467, -122.50145 37.719486, -122.50146 37.7195, -122.501465 37.719517, -122.50147 37.719532)"
3667,0,,,,CLASS I,2W,,,,,1,0,0,,0.03932239,91,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.503365 37.71285, -122.50265 37.712864)"
4243,0,,,,CLASS I,2W,,,,,1,0,0,,0.39258233,65,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.42656 37.808025, -122.426506 37.808025, -122.426414 37.807648, -122.42638 37.807564, -122.42631 37.807434, -122.42619 37.80728, -122.426094 37.8072, -122.42591 37.80708, -122.42572 37.806953, -122.42523 37.80671, -122.42486 37.806576, -122.424484 37.80652, -122.424164 37.8065, -122.42389 37.80651, -122.42366 37.80655, -122.42343 37.806633, -122.42309 37.80679, -122.42266 37.807037, -122.42227 37.807297, -122.42211 37.80738, -122.421974 37.80742, -122.42178 37.807476, -122.42072 37.8076)"
2821,0,,CHAIN OF LAKES DR,MARTIN LUTHER KING JR DR,CLASS I,2W,,,,,1,0,0,,0.15823475,40,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.50132 37.766045, -122.50188 37.765965, -122.50158 37.765514, -122.50246 37.765602, -122.50315 37.765293)"
